run_id	context	model	role	training_seed	feature_seed	evaluation_setting	inference_family	reported_runtime_json	seed_semantics	endpoint_inference_seed	inference_overrides	inference_seed_record	registration_record	checkpoint_archive
m5|Replogle K562 essential day 6|negated_oracle	Replogle K562 essential day 6	negated_oracle	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m5	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m5|Replogle K562 essential day 6|observed_magnitude_random_direction	Replogle K562 essential day 6	observed_magnitude_random_direction	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m5	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m5|Replogle K562 essential day 6|shared_mean_baseline	Replogle K562 essential day 6	shared_mean_baseline	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m5	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	not_applicable	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
cellot_training_seeds|HCC38|cellot_hcc_seed124_sensitivity_v1	HCC38	cellot_hcc_seed124_sensitivity_v1	seed_sensitivity	124	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	cellot_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20647808	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	WTShiftBench_v1.2.1_cellot_training_20260912.zip
cellot_training_seeds|HCC1143|cellot_hcc_seed124_sensitivity_v1	HCC1143	cellot_hcc_seed124_sensitivity_v1	seed_sensitivity	124	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	cellot_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20915027	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	WTShiftBench_v1.2.1_cellot_training_20260912.zip
cellot_training_seeds|HCC38|cellot_hcc_seed125_sensitivity_v1	HCC38	cellot_hcc_seed125_sensitivity_v1	seed_sensitivity	125	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	cellot_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20847131	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	WTShiftBench_v1.2.1_cellot_training_20260912.zip
cellot_training_seeds|HCC1143|cellot_hcc_seed125_sensitivity_v1	HCC1143	cellot_hcc_seed125_sensitivity_v1	seed_sensitivity	125	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	cellot_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20645343	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	WTShiftBench_v1.2.1_cellot_training_20260912.zip
cellot_training_seeds|HCC38|cellot_hcc_seed126_sensitivity_v1	HCC38	cellot_hcc_seed126_sensitivity_v1	seed_sensitivity	126	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	cellot_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20837733	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	WTShiftBench_v1.2.1_cellot_training_20260912.zip
cellot_training_seeds|HCC1143|cellot_hcc_seed126_sensitivity_v1	HCC1143	cellot_hcc_seed126_sensitivity_v1	seed_sensitivity	126	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	cellot_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20697785	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	WTShiftBench_v1.2.1_cellot_training_20260912.zip
cellot_training_seeds|HCC38|cellot_hcc_seed127_sensitivity_v1	HCC38	cellot_hcc_seed127_sensitivity_v1	seed_sensitivity	127	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	cellot_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21095029	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	WTShiftBench_v1.2.1_cellot_training_20260912.zip
cellot_training_seeds|HCC1143|cellot_hcc_seed127_sensitivity_v1	HCC1143	cellot_hcc_seed127_sensitivity_v1	seed_sensitivity	127	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	cellot_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20354973	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	WTShiftBench_v1.2.1_cellot_training_20260912.zip
other_training_seeds|HCC38|scgen_training_seed123_sensitivity	HCC38	scgen_training_seed123_sensitivity	seed_sensitivity	123	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20676659	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC38|scgen_training_seed124_sensitivity	HCC38	scgen_training_seed124_sensitivity	seed_sensitivity	124	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21004357	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC38|scgen_training_seed125_sensitivity	HCC38	scgen_training_seed125_sensitivity	seed_sensitivity	125	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20852860	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|scgen_training_seed123_sensitivity	HCC1143	scgen_training_seed123_sensitivity	seed_sensitivity	123	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20682029	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|scgen_training_seed124_sensitivity	HCC1143	scgen_training_seed124_sensitivity	seed_sensitivity	124	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20542280	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|scgen_training_seed125_sensitivity	HCC1143	scgen_training_seed125_sensitivity	seed_sensitivity	125	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20531484	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC38|cpa_training_seed123_sensitivity	HCC38	cpa_training_seed123_sensitivity	seed_sensitivity	123	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21235826	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC38|cpa_training_seed124_sensitivity	HCC38	cpa_training_seed124_sensitivity	seed_sensitivity	124	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21235264	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC38|cpa_training_seed125_sensitivity	HCC38	cpa_training_seed125_sensitivity	seed_sensitivity	125	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21195809	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|cpa_training_seed123_sensitivity	HCC1143	cpa_training_seed123_sensitivity	seed_sensitivity	123	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20956537	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|cpa_training_seed124_sensitivity	HCC1143	cpa_training_seed124_sensitivity	seed_sensitivity	124	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20306690	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|cpa_training_seed125_sensitivity	HCC1143	cpa_training_seed125_sensitivity	seed_sensitivity	125	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20560575	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC38|gears_training_seed123_sensitivity	HCC38	gears_training_seed123_sensitivity	seed_sensitivity	123	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20527374	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC38|gears_training_seed124_sensitivity	HCC38	gears_training_seed124_sensitivity	seed_sensitivity	124	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21026720	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC38|gears_training_seed125_sensitivity	HCC38	gears_training_seed125_sensitivity	seed_sensitivity	125	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20420987	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|gears_training_seed123_sensitivity	HCC1143	gears_training_seed123_sensitivity	seed_sensitivity	123	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20506268	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|gears_training_seed124_sensitivity	HCC1143	gears_training_seed124_sensitivity	seed_sensitivity	124	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21005715	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
other_training_seeds|HCC1143|gears_training_seed125_sensitivity	HCC1143	gears_training_seed125_sensitivity	seed_sensitivity	125	not_applicable_or_not_recorded	same-context in-sample; fixed original data/split	other_training_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	21043308	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
replogle_feature_seeds|Replogle K562 essential day 6|geneformer_embedding_ridge_loo_feature_seed123	Replogle K562 essential day 6	geneformer_embedding_ridge_loo_feature_seed123	seed_sensitivity	not_applicable_or_not_recorded	123	target-response-held-out LOO	replogle_feature_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20439693	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
replogle_feature_seeds|Replogle K562 essential day 6|geneformer_embedding_ridge_loo_feature_seed124	Replogle K562 essential day 6	geneformer_embedding_ridge_loo_feature_seed124	seed_sensitivity	not_applicable_or_not_recorded	124	target-response-held-out LOO	replogle_feature_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20384184	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
replogle_feature_seeds|Replogle K562 essential day 6|geneformer_embedding_ridge_loo_feature_seed125	Replogle K562 essential day 6	geneformer_embedding_ridge_loo_feature_seed125	seed_sensitivity	not_applicable_or_not_recorded	125	target-response-held-out LOO	replogle_feature_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20585661	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
replogle_feature_seeds|Replogle K562 essential day 6|chargram_lowrank_ridge_loo_feature_seed123	Replogle K562 essential day 6	chargram_lowrank_ridge_loo_feature_seed123	seed_sensitivity	not_applicable_or_not_recorded	123	target-response-held-out LOO	replogle_feature_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20480501	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
replogle_feature_seeds|Replogle K562 essential day 6|chargram_lowrank_ridge_loo_feature_seed124	Replogle K562 essential day 6	chargram_lowrank_ridge_loo_feature_seed124	seed_sensitivity	not_applicable_or_not_recorded	124	target-response-held-out LOO	replogle_feature_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20632067	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
replogle_feature_seeds|Replogle K562 essential day 6|chargram_lowrank_ridge_loo_feature_seed125	Replogle K562 essential day 6	chargram_lowrank_ridge_loo_feature_seed125	seed_sensitivity	not_applicable_or_not_recorded	125	target-response-held-out LOO	replogle_feature_seeds	{}	明确的新训练seed／降维seed单列；历史CLI与初始化seed不可互换，原始runtime和配置按原样保留	20911852	"{""bootstrap_replicates"": 5000, ""bootstrap_seed"": 20261101, ""target_identity_permutations"": 999, ""target_identity_seed"": 20261103}"	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
