axis_id	database	term	NES_or_effect	FDR	leading_edge_size	overlap_gene_count	term_gene_count_in_universe	axis_gene_count	overlap_genes
JAK-STAT signaling	GO_BP	Negative Regulation of DNA-templated Transcription (GO:0045892)	1.0	0.4115920763022744	1	1	17	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Gene Expression (GO:0010468)	1.0	0.4115920763022744	1	1	17	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	1.0	0.4446808510638299	1	1	19	1	STAT3
JAK-STAT signaling	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.5209334248455731	1	1	23	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	1.0	0.6143617021276595	1	1	28	1	STAT3
JAK-STAT signaling	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.6808510638297873	1	1	32	1	STAT3
NF-κB / MAPK signaling	GO_BP	Intracellular Signaling Cassette (GO:0141124)	1.0	0.1531914893617021	1	1	4	1	TAB3
NF-κB / MAPK signaling	GO_BP	Negative Regulation of Catabolic Process (GO:0009895)	1.0	0.1531914893617021	1	1	3	1	TAB3
NF-κB / MAPK signaling	GO_BP	Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123)	1.0	0.1531914893617021	1	1	5	1	TAB3
NF-κB / MAPK signaling	GO_BP	Regulation of Autophagy (GO:0010506)	1.0	0.1531914893617021	1	1	4	1	TAB3
NF-κB / MAPK signaling	GO_BP	Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)	1.0	0.1531914893617021	1	1	6	1	TAB3
NF-κB / MAPK signaling	GO_BP	Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1.0	0.2340425531914893	1	1	11	1	TAB3
RNA processing / spliceosome	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.6808510638297873	1	1	23	1	PRPF6
RNA processing / spliceosome	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	1.0	0.6808510638297873	1	1	19	1	PRPF6
RNA processing / spliceosome	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.6808510638297873	1	1	32	1	PRPF6
RNA processing / transcription	GO_BP	Negative Regulation of Cellular Process (GO:0048523)	1.0	0.2659574468085106	1	1	4	1	YBX1
RNA processing / transcription	GO_BP	Negative Regulation of Gene Expression (GO:0010629)	1.0	0.2659574468085106	1	1	5	1	YBX1
RNA processing / transcription	GO_BP	Negative Regulation of Protein Metabolic Process (GO:0051248)	1.0	0.2659574468085106	1	1	3	1	YBX1
RNA processing / transcription	GO_BP	Regulation of Translation (GO:0006417)	1.0	0.2659574468085106	1	1	3	1	YBX1
RNA processing / transcription	GO_BP	Regulation of RNA Biosynthetic Process (GO:2001141)	1.0	0.3404255319148936	1	1	8	1	YBX1
RNA processing / transcription	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	1.0	0.5775075987841946	1	1	19	1	YBX1
RNA processing / transcription	GO_BP	Regulation of Gene Expression (GO:0010468)	1.0	0.5775075987841946	1	1	17	1	YBX1
RNA processing / transcription	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.6117021276595745	1	1	23	1	YBX1
RNA processing / transcription	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	1.0	0.6619385342789598	1	1	28	1	YBX1
RNA processing / transcription	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.6808510638297873	1	1	32	1	YBX1
TGF-beta / BMP signaling	GO_BP	Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560)	1.0	0.0194264569842738	2	2	3	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	GO_BP	Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	1.0	0.0194264569842738	2	2	3	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	GO_BP	Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091)	1.0	0.0194264569842738	2	2	3	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Developmental Process (GO:0051094)	1.0	0.0728492136910268	2	2	6	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	GO_BP	DNA-templated Transcription (GO:0006351)	0.5	0.314355394836431	1	1	3	2	SMAD1
TGF-beta / BMP signaling	GO_BP	Intracellular Signaling Cassette (GO:0141124)	0.5	0.314355394836431	1	1	4	2	SMAD1
TGF-beta / BMP signaling	GO_BP	Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)	0.5	0.314355394836431	1	1	3	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Angiogenesis (GO:0045766)	0.5	0.314355394836431	1	1	3	2	SMAD1
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Cell Differentiation (GO:0045597)	0.5	0.314355394836431	1	1	4	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Cell Population Proliferation (GO:0008284)	0.5	0.314355394836431	1	1	3	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	1.0	0.314355394836431	2	2	19	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	GO_BP	Negative Regulation of Gene Expression (GO:0010629)	0.5	0.3287554258877108	1	1	5	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Multicellular Organismal Process (GO:0051240)	0.5	0.3287554258877108	1	1	5	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Regulation of Cell Population Proliferation (GO:0042127)	0.5	0.3380203515263645	1	1	6	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.3380203515263645	2	2	23	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Gene Expression (GO:0010628)	0.5	0.3885291396854765	1	1	8	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	0.5	0.3885291396854765	1	1	8	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Positive Regulation of Intracellular Signal Transduction (GO:1902533)	0.5	0.4867406722170829	1	1	11	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.5071327717999905	2	2	32	2	BMPR1A; SMAD1
TGF-beta / BMP signaling	GO_BP	Regulation of Gene Expression (GO:0010468)	0.5	0.6274745605920444	1	1	17	2	BMPR1A
TGF-beta / BMP signaling	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	0.5	0.8418131359851989	1	1	28	2	SMAD1
cell cycle / replication	GO_BP	Negative Regulation of Catabolic Process (GO:0009895)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Negative Regulation of Cell Population Proliferation (GO:0008285)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Negative Regulation of Protein Modification by Small Protein Conjugation or Removal (GO:1903321)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Negative Regulation of Protein Ubiquitination (GO:0031397)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of Apoptotic Process (GO:0043065)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of Protein Localization (GO:1903829)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Protein Localization to Nucleus (GO:0034504)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Protein Metabolic Process (GO:0019538)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Protein Stabilization (GO:0050821)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Regulation of Cell Cycle G1/S Phase Transition (GO:1902806)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Regulation of Protein Localization to Nucleus (GO:1900180)	1.0	0.1624758220502901	1	1	3	1	CDKN2A
cell cycle / replication	GO_BP	Negative Regulation of Cellular Process (GO:0048523)	1.0	0.1833060556464812	1	1	4	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of Protein Localization to Nucleus (GO:1900182)	1.0	0.1833060556464812	1	1	4	1	CDKN2A
cell cycle / replication	GO_BP	Regulation of Cell Cycle (GO:0051726)	1.0	0.2127659574468085	1	1	5	1	CDKN2A
cell cycle / replication	GO_BP	Negative Regulation of RNA Biosynthetic Process (GO:1902679)	1.0	0.2234042553191489	1	1	6	1	CDKN2A
cell cycle / replication	GO_BP	Regulation of Cell Population Proliferation (GO:0042127)	1.0	0.2234042553191489	1	1	6	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of Gene Expression (GO:0010628)	1.0	0.264775413711584	1	1	8	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	1.0	0.264775413711584	1	1	8	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of RNA Biosynthetic Process (GO:1902680)	1.0	0.2978723404255319	1	1	10	1	CDKN2A
cell cycle / replication	GO_BP	Regulation of Apoptotic Process (GO:0042981)	1.0	0.2978723404255319	1	1	10	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1.0	0.3120567375886525	1	1	11	1	CDKN2A
cell cycle / replication	GO_BP	Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	1.0	0.3520309477756286	1	1	13	1	CDKN2A
cell cycle / replication	GO_BP	Negative Regulation of DNA-templated Transcription (GO:0045892)	1.0	0.4219858156028369	1	1	17	1	CDKN2A
cell cycle / replication	GO_BP	Regulation of Gene Expression (GO:0010468)	1.0	0.4219858156028369	1	1	17	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	1.0	0.4527659574468086	1	1	19	1	CDKN2A
cell cycle / replication	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.5270049099836335	1	1	23	1	CDKN2A
cell cycle / replication	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	1.0	0.6178092986603624	1	1	28	1	CDKN2A
cell cycle / replication	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.6808510638297873	1	1	32	1	CDKN2A
chromatin remodeling	GO_BP	Chromatin Organization (GO:0006325)	1.0	0.0601295097132284	2	2	5	2	ARID1A; RUVBL2
chromatin remodeling	GO_BP	Chromatin Remodeling (GO:0006338)	1.0	0.0601295097132284	2	2	5	2	ARID1A; RUVBL2
chromatin remodeling	GO_BP	Positive Regulation of DNA Repair (GO:0045739)	1.0	0.0601295097132284	2	2	3	2	ARID1A; RUVBL2
chromatin remodeling	GO_BP	Regulation of DNA Repair (GO:0006282)	1.0	0.0601295097132284	2	2	5	2	ARID1A; RUVBL2
chromatin remodeling	GO_BP	Positive Regulation of RNA Biosynthetic Process (GO:1902680)	1.0	0.2164662349676225	2	2	10	2	ARID1A; RUVBL2
chromatin remodeling	GO_BP	Cellular Response to Lipid (GO:0071396)	0.5	0.2939664919313393	1	1	3	2	RUVBL2
chromatin remodeling	GO_BP	Cellular Response to Oxygen-Containing Compound (GO:1901701)	0.5	0.2939664919313393	1	1	5	2	RUVBL2
chromatin remodeling	GO_BP	DNA Metabolic Process (GO:0006259)	0.5	0.2939664919313393	1	1	4	2	RUVBL2
chromatin remodeling	GO_BP	Positive Regulation of Cell Differentiation (GO:0045597)	0.5	0.2939664919313393	1	1	4	2	ARID1A
chromatin remodeling	GO_BP	Positive Regulation of Cellular Process (GO:0048522)	0.5	0.2939664919313393	1	1	5	2	ARID1A
chromatin remodeling	GO_BP	Positive Regulation of Multicellular Organismal Process (GO:0051240)	0.5	0.2939664919313393	1	1	5	2	ARID1A
chromatin remodeling	GO_BP	Protein Stabilization (GO:0050821)	0.5	0.2939664919313393	1	1	3	2	RUVBL2
chromatin remodeling	GO_BP	Regulation of Cell Cycle (GO:0051726)	0.5	0.2939664919313393	1	1	5	2	RUVBL2
chromatin remodeling	GO_BP	Regulation of Cell Cycle G1/S Phase Transition (GO:1902806)	0.5	0.2939664919313393	1	1	3	2	ARID1A
chromatin remodeling	GO_BP	Regulation of Cell Differentiation (GO:0045595)	0.5	0.2939664919313393	1	1	3	2	ARID1A
chromatin remodeling	GO_BP	Regulation of Cellular Response to Stress (GO:0080135)	0.5	0.2939664919313393	1	1	4	2	RUVBL2
chromatin remodeling	GO_BP	Regulation of DNA Metabolic Process (GO:0051052)	0.5	0.2939664919313393	1	1	3	2	RUVBL2
chromatin remodeling	GO_BP	Regulation of Programmed Cell Death (GO:0043067)	0.5	0.2939664919313393	1	1	3	2	RUVBL2
chromatin remodeling	GO_BP	Positive Regulation of Developmental Process (GO:0051094)	0.5	0.3138760407030528	1	1	6	2	ARID1A
chromatin remodeling	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.3138760407030528	2	2	23	2	ARID1A; RUVBL2
chromatin remodeling	GO_BP	Regulation of RNA Biosynthetic Process (GO:2001141)	0.5	0.3894101581428131	1	1	8	2	RUVBL2
chromatin remodeling	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	1.0	0.4132537213018249	2	2	28	2	ARID1A; RUVBL2
chromatin remodeling	GO_BP	Regulation of Apoptotic Process (GO:0042981)	0.5	0.4339782005389533	1	1	10	2	RUVBL2
chromatin remodeling	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.4970706136293557	2	2	32	2	ARID1A; RUVBL2
chromatin remodeling	GO_BP	Regulation of Gene Expression (GO:0010468)	0.5	0.6214986123959297	1	1	17	2	RUVBL2
chromatin remodeling	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	0.5	0.6503237742830712	1	1	19	2	RUVBL2
cytoskeleton / cell motility	GO_BP	Negative Regulation of Intracellular Signal Transduction (GO:1902532)	1.0	0.0797872340425532	1	1	3	1	TMSB4X
cytoskeleton / cell motility	GO_BP	Regulation of Cell Cycle G1/S Phase Transition (GO:1902806)	1.0	0.0797872340425532	1	1	3	1	TMSB4X
cytoskeleton / cell motility	GO_BP	Regulation of Cell Migration (GO:0030334)	1.0	0.0797872340425532	1	1	3	1	TMSB4X
cytoskeleton / cell motility	GO_BP	Regulation of Inflammatory Response (GO:0050727)	1.0	0.0797872340425532	1	1	3	1	TMSB4X
cytoskeleton / cell motility	GO_BP	Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)	1.0	0.1276595744680851	1	1	6	1	TMSB4X
growth / proliferation	GO_BP	Negative Regulation of Apoptotic Process (GO:0043066)	1.0	0.2127659574468085	1	1	7	1	PA2G4
growth / proliferation	GO_BP	Negative Regulation of Programmed Cell Death (GO:0043069)	1.0	0.2127659574468085	1	1	6	1	PA2G4
growth / proliferation	GO_BP	Negative Regulation of RNA Biosynthetic Process (GO:1902679)	1.0	0.2127659574468085	1	1	6	1	PA2G4
growth / proliferation	GO_BP	Positive Regulation of Cell Differentiation (GO:0045597)	1.0	0.2127659574468085	1	1	4	1	PA2G4
growth / proliferation	GO_BP	Positive Regulation of Cellular Process (GO:0048522)	1.0	0.2127659574468085	1	1	5	1	PA2G4
growth / proliferation	GO_BP	Positive Regulation of Developmental Process (GO:0051094)	1.0	0.2127659574468085	1	1	6	1	PA2G4
growth / proliferation	GO_BP	Regulation of Cell Differentiation (GO:0045595)	1.0	0.2127659574468085	1	1	3	1	PA2G4
growth / proliferation	GO_BP	Regulation of Apoptotic Process (GO:0042981)	1.0	0.2659574468085107	1	1	10	1	PA2G4
growth / proliferation	GO_BP	Negative Regulation of DNA-templated Transcription (GO:0045892)	1.0	0.4018912529550827	1	1	17	1	PA2G4
growth / proliferation	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	1.0	0.5957446808510638	1	1	28	1	PA2G4
growth factor / proliferation	GO_BP	Chromatin Organization (GO:0006325)	1.0	0.2127659574468085	1	1	5	1	HDGF
growth factor / proliferation	GO_BP	Chromatin Remodeling (GO:0006338)	1.0	0.2127659574468085	1	1	5	1	HDGF
growth factor / proliferation	GO_BP	Positive Regulation of Cellular Process (GO:0048522)	1.0	0.2127659574468085	1	1	5	1	HDGF
growth factor / proliferation	GO_BP	Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	1.0	0.4148936170212766	1	1	13	1	HDGF
growth factor / proliferation	GO_BP	Negative Regulation of DNA-templated Transcription (GO:0045892)	1.0	0.4340425531914893	1	1	17	1	HDGF
growth factor / proliferation	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.6808510638297873	1	1	32	1	HDGF
mTOR / lysosome / signaling	GO_BP	Negative Regulation of Apoptotic Process (GO:0043066)	1.0	0.2127659574468085	1	1	7	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Negative Regulation of Programmed Cell Death (GO:0043069)	1.0	0.2127659574468085	1	1	6	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123)	1.0	0.2127659574468085	1	1	5	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Positive Regulation of Cytokine Production (GO:0001819)	1.0	0.2127659574468085	1	1	5	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Positive Regulation of Gene Expression (GO:0010628)	1.0	0.2127659574468085	1	1	8	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Positive Regulation of Interleukin-8 Production (GO:0032757)	1.0	0.2127659574468085	1	1	3	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	1.0	0.2127659574468085	1	1	8	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Positive Regulation of Protein Localization (GO:1903829)	1.0	0.2127659574468085	1	1	3	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Positive Regulation of Protein Localization to Nucleus (GO:1900182)	1.0	0.2127659574468085	1	1	4	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)	1.0	0.2127659574468085	1	1	6	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Regulation of Interleukin-8 Production (GO:0032677)	1.0	0.2127659574468085	1	1	3	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Regulation of Protein Localization to Nucleus (GO:1900180)	1.0	0.2127659574468085	1	1	3	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Regulation of Apoptotic Process (GO:0042981)	1.0	0.2454991816693944	1	1	10	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1.0	0.2507598784194529	1	1	11	1	LAMTOR5
mTOR / lysosome / signaling	GO_BP	Regulation of Gene Expression (GO:0010468)	1.0	0.3617021276595744	1	1	17	1	LAMTOR5
nuclear receptor / co-activator	GO_BP	Cellular Response to Hormone Stimulus (GO:0032870)	1.0	0.2553191489361702	1	1	3	1	NCOA1
nuclear receptor / co-activator	GO_BP	Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway (GO:0030518)	1.0	0.2553191489361702	1	1	4	1	NCOA1
nuclear receptor / co-activator	GO_BP	Positive Regulation of Developmental Process (GO:0051094)	1.0	0.2553191489361702	1	1	6	1	NCOA1
nuclear receptor / co-activator	GO_BP	Positive Regulation of Multicellular Organismal Process (GO:0051240)	1.0	0.2553191489361702	1	1	5	1	NCOA1
nuclear receptor / co-activator	GO_BP	Transcription by RNA Polymerase II (GO:0006366)	1.0	0.2553191489361702	1	1	3	1	NCOA1
nuclear receptor / co-activator	GO_BP	Positive Regulation of RNA Biosynthetic Process (GO:1902680)	1.0	0.3546099290780142	1	1	10	1	NCOA1
nuclear receptor / co-activator	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	1.0	0.5775075987841946	1	1	19	1	NCOA1
nuclear receptor / co-activator	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.6117021276595745	1	1	23	1	NCOA1
nuclear receptor / co-activator	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	1.0	0.6619385342789598	1	1	28	1	NCOA1
nuclear receptor / co-activator	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.6808510638297873	1	1	32	1	NCOA1
nuclear receptor / metabolism	GO_BP	Cellular Response to Lipid (GO:0071396)	0.5	0.3145235892691952	1	1	3	2	RORC
nuclear receptor / metabolism	GO_BP	DNA-templated Transcription (GO:0006351)	0.5	0.3145235892691952	1	1	3	2	THRA
nuclear receptor / metabolism	GO_BP	Regulation of Cell Differentiation (GO:0045595)	0.5	0.3145235892691952	1	1	3	2	RORC
nuclear receptor / metabolism	GO_BP	Transcription by RNA Polymerase II (GO:0006366)	0.5	0.3145235892691952	1	1	3	2	THRA
nuclear receptor / metabolism	GO_BP	Negative Regulation of DNA-templated Transcription (GO:0045892)	1.0	0.3145235892691952	2	2	17	2	RORC; THRA
nuclear receptor / metabolism	GO_BP	Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	1.0	0.3145235892691952	2	2	13	2	RORC; THRA
nuclear receptor / metabolism	GO_BP	Cellular Response to Oxygen-Containing Compound (GO:1901701)	0.5	0.3621646623496762	1	1	5	2	RORC
nuclear receptor / metabolism	GO_BP	Negative Regulation of RNA Biosynthetic Process (GO:1902679)	0.5	0.3621646623496762	1	1	6	2	THRA
nuclear receptor / metabolism	GO_BP	Positive Regulation of Multicellular Organismal Process (GO:0051240)	0.5	0.3621646623496762	1	1	5	2	THRA
nuclear receptor / metabolism	GO_BP	Positive Regulation of DNA-templated Transcription (GO:0045893)	1.0	0.3621646623496762	2	2	23	2	RORC; THRA
nuclear receptor / metabolism	GO_BP	Regulation of DNA-templated Transcription (GO:0006355)	1.0	0.476831216886721	2	2	28	2	RORC; THRA
nuclear receptor / metabolism	GO_BP	Positive Regulation of RNA Biosynthetic Process (GO:1902680)	0.5	0.4798797409805735	1	1	10	2	RORC
nuclear receptor / metabolism	GO_BP	Positive Regulation of Intracellular Signal Transduction (GO:1902533)	0.5	0.4813918736212907	1	1	11	2	THRA
nuclear receptor / metabolism	GO_BP	Regulation of Transcription by RNA Polymerase II (GO:0006357)	1.0	0.4916082991938682	2	2	32	2	RORC; THRA
nuclear receptor / metabolism	GO_BP	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	0.5	0.6503237742830712	1	1	19	2	THRA
oxidative stress / antioxidant	GO_BP	Cellular Response to Chemical Stress (GO:0062197)	1.0	0.1787234042553191	1	1	3	1	PRDX2
oxidative stress / antioxidant	GO_BP	Cellular Response to Oxidative Stress (GO:0034599)	1.0	0.1787234042553191	1	1	5	1	PRDX2
oxidative stress / antioxidant	GO_BP	Negative Regulation of Apoptotic Process (GO:0043066)	1.0	0.1787234042553191	1	1	7	1	PRDX2
oxidative stress / antioxidant	GO_BP	Negative Regulation of Programmed Cell Death (GO:0043069)	1.0	0.1787234042553191	1	1	6	1	PRDX2
oxidative stress / antioxidant	GO_BP	Regulation of Programmed Cell Death (GO:0043067)	1.0	0.1787234042553191	1	1	3	1	PRDX2
oxidative stress / antioxidant	GO_BP	Regulation of Apoptotic Process (GO:0042981)	1.0	0.2127659574468085	1	1	10	1	PRDX2
oxidative stress / mitochondrial	GO_BP	+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Cellular Response to Chemical Stress (GO:0062197)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Cellular Response to Reactive Oxygen Species (GO:0034614)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	DNA Damage Response (GO:0006974)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	DNA Repair (GO:0006281)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Negative Regulation of Protein Modification by Small Protein Conjugation or Removal (GO:1903321)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Negative Regulation of Protein Ubiquitination (GO:0031397)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Positive Regulation of Autophagy (GO:0010508)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Positive Regulation of Interleukin-8 Production (GO:0032757)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Positive Regulation of Protein Localization (GO:1903829)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Protein Metabolic Process (GO:0019538)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Protein Stabilization (GO:0050821)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Regulation of Inflammatory Response (GO:0050727)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Regulation of Interleukin-8 Production (GO:0032677)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Regulation of Protein Localization to Nucleus (GO:1900180)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	Regulation of Protein Phosphorylation (GO:0001932)	1.0	0.1170212765957447	1	1	3	1	PARK7
oxidative stress / mitochondrial	GO_BP	DNA Metabolic Process (GO:0006259)	1.0	0.1337386018237082	1	1	4	1	PARK7
oxidative stress / mitochondrial	GO_BP	Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway (GO:0030518)	1.0	0.1337386018237082	1	1	4	1	PARK7
oxidative stress / mitochondrial	GO_BP	Positive Regulation of Protein Localization to Nucleus (GO:1900182)	1.0	0.1337386018237082	1	1	4	1	PARK7
oxidative stress / mitochondrial	GO_BP	Cellular Response to Oxidative Stress (GO:0034599)	1.0	0.1462765957446808	1	1	5	1	PARK7
oxidative stress / mitochondrial	GO_BP	Negative Regulation of Gene Expression (GO:0010629)	1.0	0.1462765957446808	1	1	5	1	PARK7
oxidative stress / mitochondrial	GO_BP	Positive Regulation of Cytokine Production (GO:0001819)	1.0	0.1462765957446808	1	1	5	1	PARK7
oxidative stress / mitochondrial	GO_BP	Negative Regulation of Apoptotic Process (GO:0043066)	1.0	0.1965957446808511	1	1	7	1	PARK7
oxidative stress / mitochondrial	GO_BP	Positive Regulation of Gene Expression (GO:0010628)	1.0	0.2080378250591017	1	1	8	1	PARK7
oxidative stress / mitochondrial	GO_BP	Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	1.0	0.2080378250591017	1	1	8	1	PARK7
oxidative stress / mitochondrial	GO_BP	Regulation of Apoptotic Process (GO:0042981)	1.0	0.2507598784194529	1	1	10	1	PARK7
oxidative stress / mitochondrial	GO_BP	Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1.0	0.2663242846661776	1	1	11	1	PARK7
