pathway	ES	NES	pval	direction	n_genes_in_set	n_genes_after_intersection	padj	log2err	leading_edge	context	target	n_perturbed	n_control	n_genes_ranked	ranking_method	gene_filter	msigdb_collection	display_group	display_name	exact_gs_name	context_target	row_order	selection_tier	selection_reason	pathway_order	partner_context	spearman_rho	sign_agree_fraction	n_pathways
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.590014121587697	-1.48806148352554	0.0012238085544251	down	200	183	0.0122380855442511	0.45505986738723	ETFB;LDHA;CYC1;LDHB;IDH2;SLC25A5;ECHS1;ACADVL;COX5B;MRPL11;BAX;UQCRQ;HSD17B10;COX4I1;PHB2;NDUFS8;COX7B;TIMM13;UQCRH;CYB5A;NDUFB8;NDUFS4;HADHA;COX8A;NDUFS7;MDH2;COX5A;FH;MGST3;NDUFC1;AIFM1;NDUFA9;PRDX3;NDUFA3;VDAC1;NDUFB1;ETFA;GOT2;NQO2;MRPS15;SLC25A11;GPI;NDUFS3;NDUFB2;ACAA2;NDUFS6;SLC25A3;NDUFS2;IDH3G;NDUFB3;TIMM8B;TIMM10;GPX4;ECH1;LRPPRC;UQCRC2;MRPS12;NDUFA7;OXA1L;BCKDHA;COX6A1;MRPL34;SLC25A6;COX7C;PDHB;TOMM22;IMMT;TCIRG1;NDUFA6;DECR1;CYB5R3;NDUFC2;IDH1;NDUFV1;PDHA1;SUCLG1;NDUFS1	HCC1143	RUVBL2	51	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Oxidative Phosphorylation	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HCC1143 / RUVBL2	4	Tier 2	top by NES variance (0.081)	7	HCC38	0.1897238895558223	0.48	50
HALLMARK_E2F_TARGETS	-0.789121197722448	-2.002329251395	1e-10	down	200	196	2.5e-09		TK1;UBE2T;TUBB;STMN1;PRKDC;DNMT1;NME1;BIRC5;DUT;TMPO;DCTPP1;NASP;PAICS;HELLS;ANP32E;MKI67;MYBL2;HMGB3;RRM2;DDX39A;DSCC1;MCM7;SMC4;SMC1A;PA2G4;CDK1;CDKN3;H2AFZ;TIPIN;CDK4;HMGB2;LMNB1;CDC20;CCNB2;POLD2;MAD2L1;RPA3;BARD1;ATAD2;SMC3;TOP2A;CENPM;RANBP1;MELK;SPC25;RAN;RFC2;HMGA1;GINS1;MCM3;PRDX4;HMMR;DEK;LIG1;LUC7L3;CDCA3;RAD51AP1;MCM6;DIAPH3;NAA38;ORC6;E2F8;TUBG1;MCM2;CENPE;PCNA;ASF1A;SRSF2;TCF19;SSRP1;NAP1L1;USP1;AURKA;BUB1B;GSPT1;LBR;MCM5;KIF22;POLD1;CCNE1;SHMT1;GINS4;ASF1B;CIT;PTTG1;SPAG5;DLGAP5;PSIP1;NCAPD2;RPA1;UNG;DEPDC1;CDC25A;TRIP13;XPO1;KIF18B;RAD50;POLD3;PRIM2;SNRPB;CBX5;HNRNPD;NUP205;CDKN2C;CCP110;UBE2S;CSE1L;ILF3;KIF2C;CDCA8;SPC24;KIF4A;POLA2;NUP107;RPA2;RAD51C;XRCC6;NBN;CHEK1;PMS2;GINS3;EXOSC8;ING3;RAD1;CKS1B;KPNA2	HCC1143	RUVBL2	51	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	E2F Targets	HALLMARK_E2F_TARGETS	HCC1143 / RUVBL2	4	Tier 2	top by NES variance (0.081)	8	HCC38	0.1897238895558223	0.48	50
HALLMARK_G2M_CHECKPOINT	-0.750162339560401	-1.89922956186054	6.63005173383499e-10	down	200	193	1.10500862230583e-08	0.801215574617779	MT2A;HMGN2;PRC1;STMN1;NUSAP1;TPX2;H2AFV;BIRC5;HSPA8;TMPO;KIF20B;SMC2;NASP;CENPF;MKI67;MYBL2;HMGB3;DDX39A;NCL;SMC4;SMC1A;DTYMK;CDK1;CDKN3;GINS2;H2AFZ;DKC1;FBXO5;NDC80;CDK4;CBX1;LMNB1;CDC20;CCNB2;KIF23;MAD2L1;SMARCC1;KPNB1;BARD1;SFPQ;TOP2A;PBK;SNRPD1;RBL1;HMGA1;UCK2;MCM3;UBE2C;HMMR;TROAP;CHAF1A;MCM6;HNRNPU;ORC6;CDC45;MCM2;CENPE;CCNA2;CASP8AP2;EXO1;EFNA5;POLQ;CDC6;RAD23B;BUB3;SRSF2;NEK2;CENPA;KIF11;AURKA;TTK;CCNF;GSPT1;LBR;PURA;MCM5;KIF22;MARCKS;DBF4;BCL3;PTTG1;ODF2;TFDP1;CDC25A;E2F1;XPO1;FANCC;PRIM2;SAP30;HNRNPD;CDKN2C;UBE2S;STIL;ILF3;RASAL2;KIF2C;KIF4A;POLA2;CCND1;KIF15;RPA2;BUB1;CHEK1	HCC1143	RUVBL2	51	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	G2M Checkpoint	HALLMARK_G2M_CHECKPOINT	HCC1143 / RUVBL2	4	Tier 2	top by NES variance (0.081)	9	HCC38	0.1897238895558223	0.48	50
HALLMARK_MYC_TARGETS_V1	-0.793550887487013	-2.01386715678806	1e-10	down	200	197	2.5e-09		RUVBL2;TYMS;C1QBP;LDHA;EEF1B2;PPM1G;NME1;DUT;NPM1;SERBP1;CCT3;CYC1;RPLP0;PTGES3;RPS5;SRSF3;PHB;PSMB2;SNRPD2;CCT5;HSPD1;PSMA2;RPL14;MCM7;RPL6;HNRNPR;PSMD14;SSBP1;PA2G4;EIF4A1;HSP90AB1;HPRT1;HNRNPA2B1;SRSF7;LSM7;H2AFZ;PHB2;PSMD1;HSPE1;CDK4;NHP2;CDC20;POLD2;RPS2;MAD2L1;SMARCC1;KPNB1;EPRS;SNRPG;RFC4;SNRPA1;RANBP1;HNRNPA3;SRPK1;ILF2;SNRPD1;RAN;PPIA;RPS3;PRPF31;COX5A;TUFM;PGK1;HDGF;PRDX4;PRDX3;DEK;DDX18;HNRNPA1;VDAC1;FBL;VBP1;GOT2;NOP16;PWP1;PSMA4;MCM6;HNRNPU;IMPDH2;LSM2;RRM1;CDC45;EIF3B;RSL1D1;MCM2;CCNA2;PCNA;YWHAE;ABCE1;EIF1AX;CCT2;SSB;MRPL9;MRPS18B;RAD23B;PSMA1;SLC25A3;BUB3;EIF4E;SRSF2;RPL34;NAP1L1;SNRPD3;PSMD3;USP1;EIF4H;SRM;GSPT1;MCM5;PSMB3;RRP9;CBX3;MRPL23;RPL22;CDK2;TFDP1;PSMA7;PABPC4;PSMD8;XPO1;PSMC4;PSMD7;HNRNPD	HCC1143	RUVBL2	51	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	Myc Targets V1	HALLMARK_MYC_TARGETS_V1	HCC1143 / RUVBL2	4	Tier 2	top by NES variance (0.081)	10	HCC38	0.1897238895558223	0.48	50
HALLMARK_HYPOXIA	0.403996557439142	1.03514507846468	0.347480106100796	up	200	191	0.560451784033542	0.0318498087852129	DDIT3;PPP1R15A;PNRC1;ISG20;NDRG1;CITED2;BTG1;ATF3;KLHL24;RORA;HMOX1;GBE1;STC2;WSB1;KLF6;KDM3A;P4HA1;SDC4;FOSL2;IER3;STC1;JUN;IRS2;MAFF;AKAP12;PDGFB;ETS1;F3;CDKN1A;IDS;ZFP36;ADM;P4HA2;NDST2;PLIN2;MXI1;PGF;PRKCA;GYS1;BNIP3L;GCNT2;IL6;GAA;XPNPEP1;HSPA5;TGM2;CDKN1C;MYH9;SCARB1;UGP2;HS3ST1;TNFAIP3;NEDD4L;FOXO3;GLRX;CCNG2;KLF7;GPC4	HCC1143	RUVBL2	51	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Hypoxia	HALLMARK_HYPOXIA	HCC1143 / RUVBL2	4	Tier 2	top by NES variance (0.081)	11	HCC38	0.1897238895558223	0.48	50
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-0.452971347283492	-0.950282141312783	0.535525781567194	down	49	46	0.664756647566476	0.0241043177935426	PRDX2;PRDX1;HMOX2;NQO1;PRDX4;PFKP;MBP;PRDX6;TXN;NDUFS2;GPX4;PDLIM1;NDUFA6;GLRX2;G6PD;SBNO2	HCC1143	RUVBL2	51	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Reactive Oxigen Species Pathway	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HCC1143 / RUVBL2	4	Tier 2	top by NES variance (0.081)	12	HCC38	0.1897238895558223	0.48	50
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.412651740729839	0.992047962789008	0.46731826511912	up	113	109	0.631511169079892	0.0264383378949301	ATF4;EIF4A2;ATF3;KIF5B;SLC30A5;EXOSC4;MTHFD2;STC2;TSPYL2;LSM1;HERPUD1;YWHAZ;SERP1;FUS;DNAJB9;GOSR2;CEBPG;EIF4G1;XBP1;PREB;ASNS;WIPI1;SPCS1;YIF1A;TUBB2A;DNAJC3;H2AFX;NOP56;EXOSC2;HSPA5;SDAD1;DDX10;WFS1;SSR1;EIF4EBP1;IARS;XPOT;EIF2AK3;DCP1A;PDIA5	HCC1143	RUVBL2	51	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Unfolded Protein Response	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HCC1143 / RUVBL2	4	Tier 2	top by NES variance (0.081)	13	HCC38	0.1897238895558223	0.48	50
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.356757326233959	0.91534927224353	0.696494088870771	up	200	195	0.757058792250837	0.0200270913221196	GADD45A;CD59;ITGA2;PDLIM4;GADD45B;SAT1;CD44;EMP3;VIM;TIMP1;GEM;SDC4;CALD1;ID2;DAB2;JUN;CDH2;TNFRSF12A;COPA;SLC6A8;SERPINE2;CAPG;SGCB;LAMC2;INHBA;CADM1;RHOB;IL6;MMP2;ECM1;ITGB5;TGM2;CRLF1;SNAI2;LAMA2;FSTL1;SLIT2;TNFAIP3;ITGB3;FBN2;SDC1;TNC	HCC1143	RUVBL2	51	1325	36601	mean_log_expr_perturbed_minus_control	False	H	State remodeling	Epithelial Mesenchymal Transition	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HCC1143 / RUVBL2	4	Tier 2	top by NES variance (0.081)	14	HCC38	0.1897238895558223	0.48	50
HALLMARK_APOPTOSIS	0.406282348004584	1.07292154101014	0.260529634300126	up	161	158	0.501018527500243	0.0425173739246544	SQSTM1;ISG20;VDAC2;SOD1;BCL2L1;IRF1;TIMP1;BCL2L11;ANXA1;PMAIP1;IGFBP6;HMOX1;DAP3;CLU;DDIT3;BID;MCL1;TNF;ATF3;KRT18;SOD2;XIAP;CREBBP;H1F0;GSR;PEA15;CCND1;CASP8;PDCD4;ANKH;DNAJC3;DFFA;CYLD;ETF1;MGMT;SMAD7;MMP2	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	Apoptosis	HALLMARK_APOPTOSIS	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	0	HCC38	-0.07169267707082833	0.48	50
HALLMARK_P53_PATHWAY	-0.406297657215466	-1.04262517520918	0.335121951219512	down	200	196	0.557226517958184	0.0283196328294369	S100A4;RPL36;PCNA;IER3;RPL18;IFI30;JAG2;CD81;BMP2;LDHB;BAX;TOB1;PLXNB2;H2AFJ;KLK8;ITGB4;FGF13;F2R;GADD45A;KRT17;DNTTIP2;APP;HINT1;FBXW7;ZFP36L1;RB1;NUDT15;PRMT2;RAD9A;RHBDF2;XPC;HEXIM1;TSC22D1;INHBB;PPM1D;POLH;TPRKB;AK1;PDGFA;FDXR;RETSAT;CCNK;CCP110;PTPRE;HIST3H2A;TXNIP;HIST1H1C;TNFSF9;CDKN2A;SOCS1;RAD51C;TAX1BP3;MAPKAPK3;RRP8;SAT1;WRAP73;NINJ1;NOL8;FOXO3;TM7SF3;BTG2;ST14;SESN1;ADA;BAIAP2;CTSF;STEAP3;PLK2;PVT1;TRAFD1;HSPA4L	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	P53 Pathway	HALLMARK_P53_PATHWAY	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	1	HCC38	-0.07169267707082833	0.48	50
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.392095028683478	-1.00592351820482	0.422457282343369	down	200	197	0.557226517958184	0.024367764741698	KLF6;GADD45B;PDLIM5;CXCL1;MARCKS;TGIF1;IER3;F3;TUBB2A;EIF1;GEM;PLAU;BMP2;AREG;TNC;CD44;ETS2;ATP2B1;IL18;SMAD3;GADD45A;TRIB1;PHLDA1;SGK1;IL6ST;FJX1;BIRC3;NFAT5;JUNB;NFKB1;CFLAR;TRIP10;RELA;LDLR;EDN1;TSC22D1;BCL3;RELB;F2RL1;SERPINE1;PMEPA1;PTPRE;TNFSF9;JAG1;CLCF1;RIPK2;PFKFB3;NFE2L2;SLC2A6;GCH1;NFIL3;CEBPB;FOSL2;SAT1;NINJ1	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	Tnfa Signaling Via Nfkb	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	2	HCC38	-0.07169267707082833	0.48	50
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.591513780523941	1.46360824389193	0.007097232079489	up	97	93	0.0506945148534929	0.265216893779997	ISG20;IFIT2;IRF1;IFIT3;PARP14;WARS;ISG15;LY6E;UBE2L6;CD74;LAP3;PLSCR1;NCOA7;SP110;OASL;BST2;SAMD9;PNPT1;PSMB8;TRIM25;IFI44;EIF2AK2;PROCR;OGFR;CASP8;HERC6;CNP;ADAR;PARP9;USP18;IFIH1;TRIM14;IL4R;PSMB9	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Inflammatory / interferon	Interferon Alpha Response	HALLMARK_INTERFERON_ALPHA_RESPONSE	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	3	HCC38	-0.07169267707082833	0.48	50
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.603138498372038	1.6279473990622	5.32616633576203e-05	up	200	198	0.0006657707919702	0.557332238758646	RBCK1;ISG20;IFIT1;IFIT2;IRF1;IFIT3;PARP14;WARS;RAPGEF6;ISG15;UPP1;LY6E;NAMPT;UBE2L6;CD74;TAPBP;LAP3;CFB;PLSCR1;MTHFD2;CCL5;STAT1;SP110;OASL;APOL6;BST2;HLA-B;RNF213;PNPT1;PSMA2;PSMB8;PFKP;PTPN2;OAS3;SOD2;TRIM25;IFI44;EIF2AK2;TNFAIP2;OGFR;CASP8;HERC6;BTG1;ADAR;MYD88;PTPN6;LYSMD2;ZNFX1;MT2A;USP18;IFIH1;TRIM14;NUP93;VAMP8;CDKN1A;RIPK1;IL4R;SSPN;TNFAIP3;PSMB9;IL15RA;FAS;ZBP1;C1R;IL6;DDX58;IFI27;CXCL10;PSMB10;SOCS3	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Inflammatory / interferon	Interferon Gamma Response	HALLMARK_INTERFERON_GAMMA_RESPONSE	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	4	HCC38	-0.07169267707082833	0.48	50
HALLMARK_GLYCOLYSIS	-0.382715926586115	-0.982313501956082	0.484547820429408	down	200	198	0.579485102169412	0.022151099576044	IGFBP3;STMN1;CYB5A;TPBG;PPIA;IER3;PSMC4;GUSB;MIF;POLR3K;CITED2;EXT1;CD44;PAM;ARTN;NASP;SRD5A3;GALK1;FUT8;PLOD1;TPST1;TXN;MDH1;HMMR;HDLBP;ADORA2B;FKBP4;PPP2CB;TPI1;DEPDC1;QSOX1;MET;SDHC;ENO1;HS6ST2;SDC2;CLN6;ALDH9A1;ARPP19	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Glycolysis	HALLMARK_GLYCOLYSIS	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	5	HCC38	-0.07169267707082833	0.48	50
HALLMARK_MTORC1_SIGNALING	0.386201067961293	1.0412186160944	0.316978193146417	up	200	196	0.557226517958184	0.0386938580528995	SQSTM1;TCEA1;NUPR1;HSPA4;TXNRD1;HSPA9;WARS;NAMPT;ALDOA;MAP2K3;SERP1;SQLE;SLC7A5;SHMT2;GCLC;MTHFD2;GSK3B;POLR3G;G6PD;LTA4H;PSMD13;SLC2A1;XBP1;DDIT3;TRIB3;RPN1;PRDX1;AK4;PGK1;PSAT1;EIF2S2;GLRX;FADS2;ATP6V1D;GSR;FADS1;ACACA;IMMT;HMGCS1;ME1;GOT1;CCNG1;ETF1;ACTR3;YKT6;PSPH;SLC37A4;PHGDH;IDH1;USO1;EGLN3;CDKN1A;PPP1R15A	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Mtorc1 Signaling	HALLMARK_MTORC1_SIGNALING	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	6	HCC38	-0.07169267707082833	0.48	50
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.541492127247538	-1.37868099165319	0.0159251354457396	down	200	183	0.0884729746985534	0.146151534304949	GPX4;UQCR11;ATP1B1;CYB5A;COX5A;IDH2;TIMM13;NDUFS7;COX6B1;SLC25A5;DECR1;CYC1;POLR2F;CYB5R3;TIMM9;MRPS11;TIMM8B;LDHB;NDUFB6;NDUFC2;HSD17B10;FH;AIFM1;BAX;MGST3;NDUFA6;NDUFV1;NDUFA7;NDUFA4;NDUFB3;IDH3A;COX7A2;MDH1;ACAA2;NDUFB7;TIMM10;SDHB;CS;PDHA1;OAT;ATP6V1F;UQCRB;NDUFA8;NDUFS8;NDUFB4;SUCLG1;UQCRQ;TIMM50;FDX1;ACAT1;MTRF1;AFG3L2;SURF1;SDHC;ECH1;SLC25A4;NDUFS3;MRPS30;UQCRFS1;SUCLA2;MRPS12;RETSAT;COX6C;COX11;SLC25A12;COX7C;TIMM17A;NDUFB8;IDH3B;GLUD1;MRPL34;MTX2;MRPL11;UQCR10;HCCS	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Oxidative Phosphorylation	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	7	HCC38	-0.07169267707082833	0.48	50
HALLMARK_E2F_TARGETS	-0.795310978429445	-2.04089596261453	1e-10	down	200	196	5e-09		DNMT1;DUT;STMN1;KPNA2;UBE2S;PCNA;MCM3;NAP1L1;MCM7;MCM5;UBE2T;CCNB2;CENPM;H2AFZ;PRKDC;RANBP1;TUBB;DEK;KIF22;ATAD2;TK1;DIAPH3;SRSF2;NOP56;ORC6;SHMT1;HNRNPD;PA2G4;POLD2;PAICS;SMC4;BUB1B;HELLS;PLK1;MELK;TOP2A;KIF4A;ILF3;POP7;CBX5;CDC20;HMGB2;NUP107;NBN;CDCA8;TRIP13;PHF5A;RFC3;NASP;DONSON;RAD50;TACC3;SMC3;XRCC6;PNN;TIPIN;POLD3;NCAPD2;SMC1A;HMMR;SNRPB;WEE1;LIG1;SMC6;BRCA2;DLGAP5;MKI67;BIRC5;GINS4;EIF2S1;LUC7L3;SYNCRIP;MYBL2;SSRP1;CDCA3;UNG;DEPDC1;CHEK1;RAN;DCTPP1;NUP153;KIF2C;MCM4;PPM1D;RFC1;NAA38;CDC25B;HMGA1;CDKN3;RFC2;RPA1;RRM2;CSE1L;CKS1B;MAD2L1;PSMC3IP;CENPE;DCLRE1B;HUS1;CCP110;SPC25;SLBP;H2AFX;NME1;CDKN2A;TIMELESS;AURKA;STAG1;PLK4;RAD51AP1;RPA2;UBR7;CDC25A;GINS1;MCM6;KIF18B;RAD51C;CDKN2C;RBBP7;RNASEH2A;MMS22L;SRSF1;PRPS1;RAD1;EXOSC8;USP1	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	E2F Targets	HALLMARK_E2F_TARGETS	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	8	HCC38	-0.07169267707082833	0.48	50
HALLMARK_G2M_CHECKPOINT	-0.694799012697579	-1.7802861526916	7.69295005366181e-06	down	200	193	0.0001282158342276	0.593325476396405	CENPF;STMN1;KPNA2;UBE2S;KIF23;MCM3;MCM5;CCNB2;CDC45;H2AFZ;TPX2;MARCKS;H2AFV;NUSAP1;DTYMK;CHAF1A;NDC80;KIF22;KIF5B;SMC2;SRSF2;CDC6;ORC6;HNRNPD;PRC1;SMC4;SFPQ;KIF20B;PRMT5;PLK1;TOP2A;KIF4A;CCNA2;ILF3;FBXO5;CDC20;GINS2;UBE2C;NASP;SMAD3;SS18;TACC3;NEK2;PRPF4B;BUB1;MTF2;SMC1A;SLC38A1;HMMR;BRCA2;ATF5;G3BP1;RASAL2;NCL;MKI67;BIRC5;TROAP;HNRNPU;SYNCRIP;MYBL2;HIF1A;TLE3;HSPA8;CHEK1;SLC7A1;PBK;KIF2C;BCL3;RBL1;CDC25B;TTK;EFNA5;HMGA1;CDC27;CDKN3;EXO1;CKS1B;MAD2L1;AMD1;CENPE;HUS1;HIRA;RAD54L;H2AFX;ODF2;ORC5;AURKA;HMGN2;SRSF10;STAG1;PLK4;BUB3;RPA2;SLC12A2;CDC25A;KATNA1;MCM6;STIL;ODC1;CDKN2C	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	G2M Checkpoint	HALLMARK_G2M_CHECKPOINT	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	9	HCC38	-0.07169267707082833	0.48	50
HALLMARK_MYC_TARGETS_V1	-0.711234722523478	-1.82467943231128	1.11549057526174e-06	down	200	197	2.78872643815436e-05	0.643551836150722	DUT;LSM7;KPNA2;SNRPD2;PCNA;COX5A;NAP1L1;PPIA;MCM7;MCM5;UBA2;CDC45;H2AFZ;TYMS;SRSF7;RPS5;RUVBL2;TRIM28;RPL18;PSMC4;SNRPA1;RANBP1;RPL34;FBL;DEK;EEF1B2;EIF3J;PRPF31;CYC1;PHB;ILF2;SRSF2;NOP56;HSPE1;CCT4;HNRNPD;PA2G4;HNRNPA1;IARS;POLD2;SRSF3;PSMA4;EIF1AX;EIF3D;CCNA2;PSMD14;SRM;EIF4G2;PSMD8;RPS2;CDC20;IMPDH2;MRPL9;TCP1;TUFM;RPS6;RFC4;XRCC6;RRM1;HNRNPA3;EIF4A1;PPM1G;PSMD1;POLE3;PSMC6;SERBP1;PSMB3;HNRNPC;G3BP1;CCT3;UBE2L3;AP3S1;ERH;ABCE1;RPS3;EIF2S1;HNRNPU;SYNCRIP;SET;HDGF;RAN;CCT2;MCM4;RPL22;PWP1;EPRS;RSL1D1;STARD7;PSMD3;HDAC2;SRPK1;RPS10;MAD2L1;MRPS18B;PABPC1;COPS5;NME1;CCT7;SNRPB2;RPLP0;PCBP1;BUB3;SNRPG;MCM6;ODC1;HDDC2;FAM120A;PSMA1;PRPS2;GLO1;SRSF1;IFRD1;CDK2;CSTF2;USP1;RPL14;KARS;CCT5;VBP1;CDK4;TARDBP	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	Myc Targets V1	HALLMARK_MYC_TARGETS_V1	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	10	HCC38	-0.07169267707082833	0.48	50
HALLMARK_HYPOXIA	-0.394049147841313	-1.00932945763751	0.414717348927875	down	200	191	0.557226517958184	0.024643400592836	S100A4;IGFBP3;KLF6;TPBG;ILVBL;IER3;F3;CAV1;MIF;ETS1;CITED2;EXT1;PAM;ANXA2;RORA;GAPDH;GALK1;MYH9;HDLBP;ADORA2B;TMEM45A;SRPX;TPI1;AKAP12;PKP1;ENO1;SDC2;ERRFI1;NDST1;PRKCA;SERPINE1;NR3C1;SIAH2;PFKFB3;HS3ST1;PDK3;ADM;NFIL3;GBE1;WSB1;FOSL2;PFKL;PGM1;DTNA;GPI;FOXO3;STC1;KDM3A	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Hypoxia	HALLMARK_HYPOXIA	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	11	HCC38	-0.07169267707082833	0.48	50
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-0.566740006596893	-1.20909659198022	0.165532462755196	down	49	46	0.394124911321895	0.04588889823293	PRDX2;GPX4;SBNO2;PDLIM1;NDUFA6;MBP;TXN;JUNB;NDUFB4;NQO1;PRDX6;MGST1	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Reactive Oxigen Species Pathway	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	12	HCC38	-0.07169267707082833	0.48	50
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.438738686792743	1.10836497243916	0.216735587448309	up	113	109	0.433471174896619	0.0461430060071698	IFIT1;YWHAZ;HSPA9;EIF4EBP1;EIF4G1;SRPRB;ATF4;EXOSC1;SERP1;SLC30A5;SLC7A5;MTHFD2;KDELR3;XBP1;HERPUD1;PARN;VEGFA;ATF3;PSAT1;CNOT2;RPS14;EIF4E;XPOT;DNAJB9;DNAJC3;CEBPG;STC2;NOLC1;CNOT6;WFS1;DNAJA4;NPM1;TSPYL2;GOSR2;PREB;PDIA5;DCP2;EXOC2;TTC37;ATF6;DCTN1;WIPI1;EXOSC4;EDEM1;FKBP14	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proteostasis / stress	Unfolded Protein Response	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	13	HCC38	-0.07169267707082833	0.48	50
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.609359638416299	-1.56212454601332	0.0013659043202006	down	200	195	0.0113825360016717	0.45505986738723	VIM;IGFBP3;ITGB1;TPM1;LGALS1;MGP;THBS1;TPM2;MCM7;GADD45B;SPOCK1;CXCL1;GEM;TPM4;PPIB;SFRP1;FERMT2;AREG;TNC;FBLN1;CD44;SERPINH1;ADAM12;COL12A1;GADD45A;PLOD1;CALU;CD59;GPX7;SGCB;EDIL3;QSOX1;CDH2;COL6A2;VEGFC;CAPG;FSTL1;BDNF;TGFBR3;PCOLCE2;SERPINE1;PMEPA1;PVR;LAMC1;DST;LAMA3;TFPI2;COL16A1;MEST;IGFBP2;CADM1;COL4A2;CALD1;ITGB5;WIPF1;FBLN2;LAMC2;SAT1;TAGLN;SNAI2;COL4A1;FSTL3;LOXL2;COL1A1;SFRP4;CDH11;ENO2;GAS1;FZD8	HCC1143	PRDX2	186	1325	36601	mean_log_expr_perturbed_minus_control	False	H	State remodeling	Epithelial Mesenchymal Transition	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HCC1143 / PRDX2	5	Tier 2	top by NES variance (0.077)	14	HCC38	-0.07169267707082833	0.48	50
