context	contrast_id	positive_category	negative_category	claim_role	included	reason	n_genes	n_targets_positive	n_targets_negative	panel	pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	collection	ranking_method	claim_boundary	padj_within_context_contrast	endpoint_category	n_category_targets	n_universe_targets	n_pathway_targets_in_universe	n_overlap	overlap_targets	pvalue	artifact	path	size_bytes	sha256
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PD-1 Signaling R-HSA-389948	-0.488187298679864	-0.800697649623764	0.778611069446528	0.891553636558654	0.0138877414043761	18.0	21.0	down	PTPN11	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8915536365586538											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PECAM1 Interactions R-HSA-210990	-0.629468857036693	-0.973171643842472	0.560282574568289	0.803146997012204	0.0193684045229661	12.0	12.0	down	PTPN11;LYN;ITGAV;YES1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8031469970122046											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PERK Regulates Gene Expression R-HSA-381042	0.692427585454766	1.41132965764493	0.0542231491136601	0.318425091758425	0.114790404232843	32.0	32.0	up	DDIT3;ATF4;ATF3;HERPUD1;CXCL8;EXOSC4;EIF2S2;CEBPB;DIS3;EXOSC5;CEBPG;EIF2S1;ASNS	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.318425091758425											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI Metabolism R-HSA-1483255	-0.662594147294833	-1.34106702933045	0.0421470187182348	0.278206691047	0.0769581592091491	82.0	82.0	down	INPP4B;SBF2;PIK3CB;SYNJ2;PLEKHA5;PITPNB;PTEN;INPP4A;CLSTN1;PIP4K2A;VAC14;PI4KA;SBF1;TNFAIP8;PIK3C2A;PIK3R3;RAB14;RUFY1;MTMR12;PIK3C2B;PIK3R1;PI4K2B;PTPN13;PIKFYVE;PLEKHA2;MTMR4;PLEKHA8;ARF3;INPP5F;PNPLA6;RAB4A;PI4KB;PIP4K2B;GDPD1;MTMR6;MTMR1;SYNJ1;OCRL;PIP4K2C;GDPD3;MTMR2;INPP5J;PIK3R4;MTMR3;INPP5E	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.2782066910470001											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI-3K cascade:FGFR1 R-HSA-5654689	-0.719029302355509	-1.20919093847727	0.207049107801209	0.554026387243369	0.0357051552759562	21.0	21.0	down	PTPN11;PIGU;PIK3R1;FGF13;FGFR1;FRS2;FGF1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5540263872433675											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI-3K cascade:FGFR2 R-HSA-5654695	-0.610251710925183	-1.04364790296212	0.432073544433095	0.716093916298206	0.022246796177298	23.0	23.0	down	PTPN11;PIGU;PIK3R1;FGF13;FRS2;FGF1;FGFR2;FGF7	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7160939162982064											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI-3K cascade:FGFR3 R-HSA-5654710	-0.627317291348107	-1.02889092385044	0.465576721163942	0.736429474410595	0.021506409820865	18.0	18.0	down	PTPN11;PIGU;PIK3R1;FGF13;FRS2;FGF1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7364294744105957											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI-3K cascade:FGFR4 R-HSA-5654720	-0.606503515595789	-1.01239996033941	0.483899688381066	0.750387521131816	0.0207420427691314	20.0	20.0	down	PTPN11;PIGU;PIK3R1;FGF13;FRS2;FGF1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7503875211318166											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI3K Cascade R-HSA-109704	0.340743500708642	0.736062058141232	0.9553264604811	0.973816650038798	0.0249784279069157	44.0	44.0	up	TRIB3;IRS2;PDPK1;FGF18;FLT3LG;PIK3CA	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9738166500387988											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI3K Events In ERBB2 Signaling R-HSA-1963642	-0.544584303433493	-0.879243070401238	0.674981103552532	0.859229636693893	0.0160647994194882	16.0	16.0	down	EGFR;PIGU;PIK3R1;NRG1;EGF;ERBB4;ERBB2	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8592296366938921											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI3K Events In ERBB4 Signaling R-HSA-1250342	0.567175697416839	0.91003606288641	0.594405594405594	0.824629029507078	0.0270902664354274	10.0	10.0	up	HBEGF;PIK3CA;BTC;NRG2	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8246290295070778											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI3K/AKT Signaling In Cancer R-HSA-2219528	-0.473414312541224	-0.982940969677144	0.511806304686564	0.770614320276025	0.0167143840009598	105.0	105.0	down	EGFR;PIK3CB;MDM2;CREB1;AKT1;MTOR;PTEN;PTPN11;CLSTN1;IRS1;ESR1;FOXO3;MLST8;KITLG;SOS1;PIGU;PIK3R3;GAB2;MAPKAP1;PIK3R1;TSC2;FGF13;NRG1;STRN;RAC2;AKT3;EGF;PDGFA;FGFR1;RPS6KB2;PRR5;KIT;ERBB4;CASP9;ERBB2	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7706143202760257											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558	-0.484996117574917	-1.00855187306281	0.460306073648972	0.731090866370472	0.0182362014684999	106.0	106.0	down	EGFR;PIK3CB;AKT1;PPP2R5E;IER3;IRAK1;PTPN11;CLSTN1;PIP4K2A;IRS1;PPP2R5A;ESR1;KITLG;MAPK1;SOS1;PPP2R5C;PIGU;PIK3R3;GAB2;PIK3R1;FGF13;NRG1;STRN;RAC2;EGF;PDGFA;FGFR1;PPP2R5D;KIT;PIP4K2B;ERBB4;ERBB2	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7310908663704723											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PINK1-PRKN Mediated Mitophagy R-HSA-5205685	0.777290601735178	1.46823579955895	0.0379548306148055	0.264080196575096	0.13063133623686	22.0	22.0	up	MAP1LC3B;SQSTM1;RPS27A;UBA52;UBC;TOMM20;UBB;ATG12;TOMM22;TOMM5;ATG5	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.2640801965750956											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PIP3 Activates AKT Signaling R-HSA-1257604	-0.540946343556679	-1.1997398704994	0.0779318499408793	0.377439435596825	0.0516208105781907	267.0	268.0	down	EGFR;PSMA1;PSMB1;RCOR1;PSMD2;PIK3CB;PSMB9;KDM1A;PSME4;TNRC6A;PSMC5;PSME1;PHLPP1;MDM2;GATAD2A;PSMB7;PSMC1;HDAC1;STUB1;CREB1;EZH2;PSMD12;PSMD14;AKT1;PPP2R5E;MTOR;PSMD11;CHD4;RBBP4;PSMB5;MTA1;PPARG;PSMA5;PTEN;PSMA4;TNRC6B;AGO2;IER3;IRAK1;PTPN11;USP7;PSMB3;HDAC2;CLSTN1;PIP4K2A;IRS1;MTA3;PPP2R5A;PSMD3;XIAP;RPTOR;ESR1;MECOM;PSMB8;TP53;FOXO3;SUZ12;PSMC3;MLST8;WWP2;KITLG;AGO3;MAPK1;PSME2;SOS1;PSMB4;CSNK2A2;GATAD2B;MOV10;PSMA2;PPP2R5C;EGR1;PIGU;PSMA3;PIK3R3;PHC3;PSMD9;GAB2;HDAC7;SCMH1;ATN1;MAPKAP1;HDAC5;PIK3R1;EED;VAPA;TNKS;PSMD4;TSC2;PHC2;USP13;FGF13;PSMB2;CNOT6L;NRG1;STRN;SLC38A9;NEDD4;CBX2;RAC2;SEM1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3774394355968251											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PIWI-interacting RNA (piRNA) Biogenesis R-HSA-5601884	0.44341642759883	0.88865904297807	0.625333333333333	0.839286919477753	0.0300273375549225	29.0	29.0	up	POLR2K;POLR2C;POLR2F;POLR2A;POLR2H;POLR2G;PLD6	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8392869194777526											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PKA Activation In Glucagon Signaling R-HSA-164378	-0.818848346137722	-1.32204826601109	0.0775510204081633	0.377439435596825	0.0620731825163625	16.0	16.0	down	PRKCA;PRKAR2A;PRKAR1B;PRKAR1A;GNAS;PRKACB;ADCY7;ADCY9;ADCY1;PRKAR2B;ADCY6	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3774394355968251											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PKA Activation R-HSA-163615	-0.817558182951425	-1.33299924812153	0.0688564110290794	0.356308214700401	0.0659642175442741	17.0	17.0	down	CALM1;PRKCA;PRKAR2A;PRKAR1B;PRKAR1A;PRKACB;ADCY7;ADCY9;ADCY1;PRKAR2B;ADCY6	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3563082147004011											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PKA-mediated Phosphorylation Of CREB R-HSA-111931	-0.806422768684673	-1.33658201347591	0.0663387000596303	0.349858531184648	0.0668907051006929	19.0	19.0	down	CALM1;PRKCA;CREB1;PRKAR2A;PRKAR1B;PRKAR1A;PRKACB;ADCY7;ADCY9;ADCY1;PRKAR2B;ADCY6	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3498585311846477											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PKMTs Methylate Histone Lysines R-HSA-3214841	-0.724874675187632	-1.36077020270573	0.0448327238250034	0.287909547541241	0.0780352840716953	44.0	47.0	down	SMYD3;NSD2;NSD1;EHMT1;EZH2;RBBP4;EHMT2;MECOM;SMYD2;SUZ12;KMT2C;SETD3;SETD7;NFKB1;KMT2B;KMT5A;SETD2;DOT1L;SETD6;KMT2A;EED;SETDB1;ASH2L;KMT5B;WDR5;KMT2D;SETD1B;SETD1A;SUV39H1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.2879095475412412											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PLC Beta Mediated Events R-HSA-112043	-0.771586800313433	-1.46028608362575	0.008480279983847	0.123505302742215	0.181914998907505	47.0	47.0	down	CALM1;KPNA2;PRKCA;CREB1;PRKAR2A;PRKAR1B;CAMK2D;GRK2;PRKAR1A;GNAQ;MAPK1;PRKACB;ITPR3;CAMK4;ADCY7;GNA11;ADCY9;ADCY1;CAMK2G;AHCYL1;PRKAR2B;ADCY6;CAMKK1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.1235053027422137											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	POU5F1 (OCT4), SOX2, NANOG Activate Genes Related To Proliferation R-HSA-2892247	-0.522200323789152	-0.807332311735539	0.761538461538462	0.886291356663572	0.0148653124036293	12.0	12.0	down	NR6A1;FGF13	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8862913566635724											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PPARA Activates Gene Expression R-HSA-1989781	-0.484140552169341	-1.01368689878733	0.454739336492891	0.728692657729677	0.0182824994741841	115.0	116.0	down	MED13L;SREBF2;THRAP3;NCOR1;TIAM2;CDK8;FHL2;CLOCK;NCOA3;NCOA6;FAM120B;PPARG;GPS2;NCOA2;HMGCS1;TBL1XR1;CHD9;NRF1;ACADM;TNFRSF21;HMGCR;NFYC;PPARA;MED14;MED4;FDFT1;CARM1;MED11;MED30;CYP1A1;EP300;MED13;MED20;NCOR2;NFYA;SREBF1;CPT2;PKMYT1;MED24;PEX11A;ACSL1;RORA;AHRR;MED16;RXRA;CDK19;HELZ2	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7286926577296763											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PRC2 Methylates Histones And DNA R-HSA-212300	-0.758944951124642	-1.19112180643106	0.248917079207921	0.586388143479652	0.0329523110569487	13.0	42.0	down	DNMT1;PHF19;EZH2;RBBP4;SUZ12;DNMT3B	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5863881434796518											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PTEN Regulation R-HSA-6807070	-0.606257984311113	-1.28908215547179	0.0459278111985192	0.289212563543002	0.071001584690387	138.0	139.0	down	PSMA1;PSMB1;RCOR1;PSMD2;PSMB9;KDM1A;PSME4;TNRC6A;PSMC5;PSME1;GATAD2A;PSMB7;PSMC1;HDAC1;STUB1;EZH2;PSMD12;PSMD14;AKT1;MTOR;PSMD11;CHD4;RBBP4;PSMB5;MTA1;PPARG;PSMA5;PTEN;PSMA4;TNRC6B;AGO2;USP7;PSMB3;HDAC2;MTA3;PSMD3;XIAP;RPTOR;MECOM;PSMB8;TP53;SUZ12;PSMC3;MLST8;WWP2;AGO3;MAPK1;PSME2;PSMB4;CSNK2A2;GATAD2B;MOV10;PSMA2;EGR1;PSMA3;PHC3;PSMD9;HDAC7;SCMH1;ATN1;HDAC5;EED;VAPA;TNKS;PSMD4;PHC2;USP13;PSMB2;CNOT6L;SLC38A9;NEDD4;CBX2;SEM1;PML;AGO1;AKT3	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.2892125635430024											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	PTK6 Regulates RHO GTPases, RAS GTPase And MAP Kinases R-HSA-8849471	-0.563602171575643	-0.884542199959105	0.667852722772277	0.854709548556528	0.0165548344566889	13.0	13.0	down	PXDN;DOCK1;BCAR1;ARHGAP35;HRAS;SYNGAP1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8547095485565279											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Paracetamol ADME R-HSA-9753281	-0.679312523335732	-1.1889793801472	0.228960573476703	0.571296063124318	0.033099561009158	27.0	28.0	down	GSTP1;ABCC1;ABCC3;SULT1A1;ABCC5;CNDP2;ABCC4	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.571296063124319											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955	-0.723438734073412	-1.33975156701606	0.0590421139554088	0.333166214462664	0.0681851045494384	40.0	41.0	down	IQGAP1;VCL;CALM1;PEBP1;CAMK2D;RAP1A;MAP2K2;KSR2;YWHAB;TLN1;MAPK1;MARK3;ARRB1;HRAS	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.333166214462664											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Passive Transport By Aquaporins R-HSA-432047	0.701980516276024	1.16199246410218	0.308370044052863	0.6298430940276	0.0406333427646156	12.0	12.0	up	AQP3;AQP11;AQP5;AQP10	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6298430940276005											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238	0.501744549608933	1.01574604823132	0.418788713007571	0.707083313021011	0.0387662484583825	31.0	31.0	up	POLR2K;ELOC;SUPT4H1;ELOB;POLR2C;POLR2F;POLR2A;NELFE;ELOA;SUPT5H;NELFA;POLR2H;POLR2G	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7070833130210114											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Pentose Phosphate Pathway R-HSA-71336	-0.781916325899209	-1.23905860792861	0.177900892582333	0.534831013217923	0.0399142166484103	14.0	14.0	down	TKT;PGLS;TALDO1;UBL4A;SHPK;DERA;PGM2;PHGDH	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5348310132179228											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Peptide Chain Elongation R-HSA-156902	-0.415619437474267	-0.845026906561802	0.76675702316412	0.888394669378047	0.0112411878439466	86.0	86.0	down	RPS3;RPL7A;RPSA;EEF2;RPL36A;RPS2;RPL34;RPL35;RPS8;RPL12;RPS29;RPL6;RPLP0;RPL27;RPL41;RPL3;RPL37;RPS4X;RPL5;RPS24;RPL36;RPL23;RPL14;RPS14;RPL11;RPL26;RPS3A;RPL31;RPL29;RPS17	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8883946693780473											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Peptide Hormone Biosynthesis R-HSA-209952	0.760819094998127	1.25938830841459	0.206222466960352	0.553298769844568	0.0507207371426146	12.0	12.0	up	INHBA;INHBE;INHBB;INHBC	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5532987698445672											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Peptide Hormone Metabolism R-HSA-2980736	-0.372674138726713	-0.761064011178382	0.907864065758803	0.948487885477471	0.0085532796185172	89.0	89.0	down	CTSD;EXOC4;AOPEP;EXOC3;CTSZ;GNB1;SPCS3	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9484878854774704											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Peptide Ligand-Binding Receptors R-HSA-375276	0.398975814615555	1.05607250126839	0.269628099173554	0.606035542835637	0.0882143061853503	195.0	196.0	up	SAA2;EDN1;CXCL8;CXCL16;C3;CX3CL1;CXCL1;CXCL5;NPW;CXCL3;RIPK2;ANXA1;GPNMB;HEBP1;CCL5;CCR6;KISS1;CCL13;GPR37L1;FPR1;CXCL2	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.606035542835638											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Peroxisomal Lipid Metabolism R-HSA-390918	-0.491752289883873	-0.868042990223229	0.689802913453299	0.864228848396997	0.0149279394285444	29.0	29.0	down	SLC25A17;ALDH3A2;PHYH;ECI2;SYCP2;ACOXL;NUDT19;ACBD4;EHHADH;PECR;ACAA1;ACOT4;ACOX2;CRAT	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8642288483969967											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Peroxisomal Protein Import R-HSA-9033241	0.488337573319616	1.1230405815589	0.216326530612245	0.565869428158105	0.0644973452335783	63.0	63.0	up	RPS27A;UBA52;UBC;UBE2D2;UBB;UBE2D1;ACOT8;UBE2D3;ZNF260;GSTK1;ECH1;AMACR;DECR2;MLYCD;GNPAT;PIPOX	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5658694281581058											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Pexophagy R-HSA-9664873	0.92991283842896	1.50966810664291	0.0092794759825327	0.130647671754075	0.248832632022043	11.0	11.0	up	MAP1LC3B;SQSTM1;RPS27A;UBA52;UBC;UBB;NBR1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.1306476717540742											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phase 0 - Rapid Depolarisation R-HSA-5576892	-0.675942065550833	-1.21197187019606	0.196070175438596	0.549924634070383	0.0358090996736562	32.0	32.0	down	CALM1;CAMK2D;RANGRF;FGF13;CAMK2G	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5499246340703817											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phase 2 - Plateau Phase R-HSA-5576893	0.362613930434307	0.632102034431522	0.949696444058977	0.971559959317888	0.0206292951778269	15.0	15.0	up	CACNB2;KCNQ1;KCNE4;KCNE2;CACNG4;CACNA1C	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9715599593178889											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phase 4 - Resting Membrane Potential R-HSA-5576886	0.358550894803713	0.655001998851495	0.946569520340012	0.970849991789667	0.0214362756462213	19.0	19.0	up	KCNK1;KCNJ12;KCNK13;KCNK7	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9708499917896676											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phase I - Functionalization Of Compounds R-HSA-211945	-0.548061400686613	-1.13252531633699	0.241370987207338	0.580626034197463	0.0288585899410337	100.0	104.0	down	HSP90AB1;PTGES3;AURKAIP1;FDXR;ADH5;NCOA2;CYP7B1;NQO2;CBR3;CYB5R3;TBXAS1;CYP2R1;CYP1A1;CYP51A1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5806260341974621											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phase II - Conjugation Of Compounds R-HSA-156580	-0.40482294498304	-0.839518884502258	0.78733629700829	0.892653322951496	0.0104651099309318	104.0	107.0	down	GSTP1;COMT;GGCT;GSTO1;MGST2;MAT2A;GSTZ1;SULT1A1;AKR1A1;SLC35B2;AHCY;TPST1;GCLM;MTR;ESD;CNDP2;ABHD14B;GLYATL2;ABHD10;GSTO2	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8926533229514958											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phenylalanine And Tyrosine Metabolism R-HSA-8963691	-0.612710294502966	-0.937516373404156	0.613284947933102	0.832942880573898	0.0180945197619621	11.0	11.0	down	PCBD1;GSTZ1;ASRGL1;FAH	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8329428805738978											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219	-0.728868749779502	-1.17677427247755	0.264550264550265	0.602869352869353	0.031329971144254	16.0	16.0	down	FGF13;FGFR1;FGF1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.602869352869354											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221	-0.435601592834767	-0.71444950021915	0.877906104694765	0.93312589609835	0.0121454145692871	18.0	18.0	down	FGF13;FGF1;FGFR2;FGF7	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9331258960983494											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227	-0.397581427539095	-0.623981894170387	0.939665841584158	0.967337224115966	0.011600444045769	13.0	13.0	down	FGF13;FGF1;FGFR3	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9673372241159656											
HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information							c	Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228	-0.324678529489011	-0.519893908986454	0.991135564725661	0.996440981568669	0.0106230656861148	15.0	15.0	down	FGF13;FGF1	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.99644098156867											
